                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.475,                 3.7593,                 1.6833,                0.00469,                0.90974,                0.10545,                0.05481,                 1.4673,                 4.4171,                 1.5726,             0.00021856,             0.00021856,             0.00021856
                      2,                 1.4216,                 2.9048,                  1.627,                0.51838,                0.33028,                0.28961,                0.12914,                 1.6459,                 3.7035,                 1.7533,             0.00041907,             0.00041907,             0.00041907
                      3,                 1.4044,                 2.5351,                 1.5788,                0.46316,                0.50692,                0.42565,                0.19273,                 1.6554,                 3.3904,                  1.706,             0.00059757,             0.00059757,             0.00059757
                      4,                  1.441,                 2.4276,                 1.6018,                0.54765,                0.42183,                 0.4785,                0.22702,                 1.6464,                 2.7198,                 1.7431,             0.00056795,             0.00056795,             0.00056795
                      5,                 1.4003,                 2.2417,                 1.5591,                0.63895,                0.65745,                 0.6968,                0.34937,                 1.5253,                 2.6847,                 1.6129,             0.00053493,             0.00053493,             0.00053493
                      6,                 1.4007,                 2.0232,                 1.5366,                0.52763,                 0.6309,                0.63026,                0.29089,                 1.6873,                 2.3233,                 1.7363,             0.00050192,             0.00050192,             0.00050192
                      7,                  1.356,                 1.9369,                 1.5068,                0.62401,                0.63334,                0.67847,                 0.3577,                  1.605,                 2.0609,                  1.734,              0.0004689,              0.0004689,              0.0004689
                      8,                 1.2903,                 1.7607,                 1.4431,                0.78341,                0.67848,                0.77588,                0.41847,                  1.637,                 2.1374,                 1.7023,             0.00043588,             0.00043588,             0.00043588
                      9,                 1.2813,                 1.6679,                 1.4419,                0.79213,                0.70735,                0.80209,                0.41796,                 1.6465,                 1.9333,                 1.6553,             0.00040287,             0.00040287,             0.00040287
                     10,                 1.2524,                 1.5677,                 1.3876,                0.74404,                0.73365,                0.76644,                0.41583,                 1.6134,                 2.0772,                 1.6058,             0.00036985,             0.00036985,             0.00036985
                     11,                 1.2219,                 1.6102,                  1.476,                0.68522,                0.77447,                0.77168,                0.39096,                 1.7005,                 1.9838,                 1.6903,             0.00033683,             0.00033683,             0.00033683
                     12,                 1.1651,                 1.4037,                 1.4388,                0.75175,                 0.8071,                0.80391,                0.40427,                 1.6314,                  1.684,                 1.6425,             0.00030382,             0.00030382,             0.00030382
                     13,                 1.1521,                 1.3727,                 1.4182,                0.80311,                0.80068,                0.81457,                0.46571,                 1.5663,                 1.6917,                 1.5813,              0.0002708,              0.0002708,              0.0002708
                     14,                 1.0984,                 1.2457,                 1.3813,                0.78878,                0.78799,                0.83117,                0.46656,                 1.5875,                 1.6032,                 1.6102,             0.00023779,             0.00023779,             0.00023779
                     15,                  1.075,                 1.1915,                 1.3685,                0.80909,                0.81326,                0.82304,                0.46494,                 1.5992,                 1.5994,                 1.6274,             0.00020477,             0.00020477,             0.00020477
                     16,                 1.0375,                 1.1385,                 1.3394,                0.81244,                0.78471,                 0.8144,                0.45843,                 1.6233,                 1.4694,                 1.6497,             0.00017175,             0.00017175,             0.00017175
                     17,                 1.0169,                 1.0642,                 1.3139,                0.79839,                0.79823,                 0.8247,                0.46853,                 1.5589,                 1.4449,                 1.5863,             0.00013874,             0.00013874,             0.00013874
                     18,                0.98811,                 1.0239,                  1.312,                0.81341,                0.80617,                0.82525,                0.46658,                 1.5904,                 1.4811,                 1.6059,             0.00010572,             0.00010572,             0.00010572
                     19,                 0.9577,                0.99861,                 1.2687,                0.79876,                0.82851,                0.81345,                0.45288,                 1.5922,                 1.4403,                 1.6145,             7.2703e-05,             7.2703e-05,             7.2703e-05
                     20,                0.93175,                0.97318,                 1.2567,                0.80042,                0.84227,                0.81488,                0.46104,                 1.5834,                 1.4644,                  1.617,             3.9687e-05,             3.9687e-05,             3.9687e-05
